0.00.129.994 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.233.478 W srv  llama_server: -----------------
0.00.233.489 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.233.489 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.233.489 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.233.490 W srv  llama_server: -----------------
0.00.236.801 I srv    load_model: loading model 'D:\assistenteeee\scripts\..\models\QwenPaw-Flash-9B.i1-Q4_K_M.gguf'
0.00.940.057 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
1.04.181.266 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 49152, kv_unified = 'true'
1.04.322.396 I srv  llama_server: model loaded
1.04.331.464 I srv  llama_server: listening on http://127.0.0.1:8012
6.41.058.643 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
6.41.065.609 I slot launch_slot_: id  3 | task 1 | processing task, is_child = 0
6.45.781.794 I slot print_timing: id  3 | task 1 | n_decoded =    100, tg =  27.70 t/s, tg_3s =  27.70 t/s
6.48.486.234 I slot print_timing: id  3 | task 1 | prompt eval time =    1095.76 ms /   332 tokens (    3.30 ms per token,   302.99 tokens per second)
6.48.486.246 I slot print_timing: id  3 | task 1 |        eval time =    6315.10 ms /   176 tokens (   35.88 ms per token,    27.87 tokens per second)
6.48.486.248 I slot print_timing: id  3 | task 1 |       total time =    7410.87 ms /   508 tokens
6.48.486.249 I slot print_timing: id  3 | task 1 |    graphs reused =        175
6.48.487.283 I slot      release: id  3 | task 1 | stop processing: n_tokens = 507, truncated = 0
18.49.395.834 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.502 (> 0.100 thold), f_keep = 0.327
18.49.457.247 I slot launch_slot_: id  3 | task 181 | processing task, is_child = 0
18.52.620.350 I slot print_timing: id  3 | task 181 | prompt eval time =     604.00 ms /   225 tokens (    2.68 ms per token,   372.52 tokens per second)
18.52.620.356 I slot print_timing: id  3 | task 181 |        eval time =    2558.93 ms /    65 tokens (   39.37 ms per token,    25.40 tokens per second)
18.52.620.357 I slot print_timing: id  3 | task 181 |       total time =    3162.93 ms /   290 tokens
18.52.620.358 I slot print_timing: id  3 | task 181 |    graphs reused =        238
18.52.620.495 I slot      release: id  3 | task 181 | stop processing: n_tokens = 395, truncated = 0
18.53.258.515 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
18.53.258.560 I slot launch_slot_: id  2 | task 248 | processing task, is_child = 0
18.57.504.117 I slot print_timing: id  2 | task 248 | n_decoded =    100, tg =  26.22 t/s, tg_3s =  26.22 t/s
18.59.290.494 I slot print_timing: id  2 | task 248 | prompt eval time =     344.02 ms /    66 tokens (    5.21 ms per token,   191.85 tokens per second)
18.59.290.506 I slot print_timing: id  2 | task 248 |        eval time =    5600.77 ms /   146 tokens (   38.36 ms per token,    26.07 tokens per second)
18.59.290.507 I slot print_timing: id  2 | task 248 |       total time =    5944.80 ms /   212 tokens
18.59.290.508 I slot print_timing: id  2 | task 248 |    graphs reused =        382
18.59.290.706 I slot      release: id  2 | task 248 | stop processing: n_tokens = 211, truncated = 0
19.33.916.764 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
19.33.944.769 I slot launch_slot_: id  1 | task 398 | processing task, is_child = 0
19.38.706.934 I slot print_timing: id  1 | task 398 | n_decoded =    100, tg =  25.26 t/s, tg_3s =  25.26 t/s
19.41.732.023 I slot print_timing: id  1 | task 398 | n_decoded =    176, tg =  25.20 t/s, tg_3s =  25.12 t/s
19.44.759.010 I slot print_timing: id  1 | task 398 | n_decoded =    253, tg =  25.27 t/s, tg_3s =  25.44 t/s
19.47.767.491 I slot print_timing: id  1 | task 398 | n_decoded =    330, tg =  25.35 t/s, tg_3s =  25.59 t/s
19.50.785.871 I slot print_timing: id  1 | task 398 | n_decoded =    407, tg =  25.38 t/s, tg_3s =  25.51 t/s
19.53.808.413 I slot print_timing: id  1 | task 398 | n_decoded =    484, tg =  25.39 t/s, tg_3s =  25.48 t/s
19.56.809.354 I slot print_timing: id  1 | task 398 | n_decoded =    561, tg =  25.43 t/s, tg_3s =  25.66 t/s
19.57.758.146 I slot print_timing: id  1 | task 398 | prompt eval time =     745.72 ms /   260 tokens (    2.87 ms per token,   348.65 tokens per second)
19.57.758.152 I slot print_timing: id  1 | task 398 |        eval time =   23010.75 ms /   585 tokens (   39.33 ms per token,    25.42 tokens per second)
19.57.758.153 I slot print_timing: id  1 | task 398 |       total time =   23756.47 ms /   845 tokens
19.57.758.154 I slot print_timing: id  1 | task 398 |    graphs reused =        963
19.57.758.341 I slot      release: id  1 | task 398 | stop processing: n_tokens = 950, truncated = 0
19.58.420.800 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
19.58.420.852 I slot launch_slot_: id  0 | task 986 | processing task, is_child = 0
20.03.727.442 I slot print_timing: id  0 | task 986 | n_decoded =    100, tg =  26.00 t/s, tg_3s =  26.00 t/s
20.06.027.128 I slot print_timing: id  0 | task 986 | prompt eval time =    1364.53 ms /   677 tokens (    2.02 ms per token,   496.14 tokens per second)
