1.16.108.278 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
1.16.718.185 W srv  llama_server: -----------------
1.16.718.202 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
1.16.718.202 W srv  llama_server: this can be a security risk (cross-origin attacks)
1.16.718.203 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
1.16.718.203 W srv  llama_server: -----------------
1.16.733.060 I srv    load_model: loading model 'd:\assistenteeee\models\QwenPaw-Flash-9B.i1-Q4_K_M.gguf'
1.18.454.613 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 999, abort
3.15.672.922 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
3.15.832.672 I srv  llama_server: model loaded
3.15.832.912 I srv  llama_server: listening on http://127.0.0.1:8080
3.48.599.920 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.48.603.864 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
3.56.490.379 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =     20, progress = 0.83, t =   7.88 s / 2.54 tokens per second
3.58.181.842 I slot print_timing: id  3 | task 0 | prompt eval time =    8288.38 ms /    24 tokens (  345.35 ms per token,     2.90 tokens per second)
3.58.181.855 I slot print_timing: id  3 | task 0 |        eval time =    1264.79 ms /    32 tokens (   39.52 ms per token,    25.30 tokens per second)
3.58.181.856 I slot print_timing: id  3 | task 0 |       total time =    9553.16 ms /    56 tokens
3.58.181.860 I slot print_timing: id  3 | task 0 |    graphs reused =         31
3.58.182.087 I slot      release: id  3 | task 0 | stop processing: n_tokens = 55, truncated = 0
3.58.381.790 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
3.58.425.322 I slot launch_slot_: id  2 | task 34 | processing task, is_child = 0
4.01.667.625 I slot print_timing: id  2 | task 34 | prompt eval time =     714.76 ms /   281 tokens (    2.54 ms per token,   393.14 tokens per second)
4.01.667.645 I slot print_timing: id  2 | task 34 |        eval time =    2453.86 ms /    62 tokens (   39.58 ms per token,    25.27 tokens per second)
4.01.667.647 I slot print_timing: id  2 | task 34 |       total time =    3168.63 ms /   343 tokens
4.01.667.705 I slot print_timing: id  2 | task 34 |    graphs reused =         91
4.01.668.848 I slot      release: id  2 | task 34 | stop processing: n_tokens = 342, truncated = 0
4.26.661.755 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
4.26.661.806 I slot launch_slot_: id  1 | task 99 | processing task, is_child = 0
4.31.152.753 I slot print_timing: id  1 | task 99 | n_decoded =    100, tg =  24.41 t/s, tg_3s =  24.41 t/s
4.34.165.184 I slot print_timing: id  1 | task 99 | n_decoded =    175, tg =  24.62 t/s, tg_3s =  24.90 t/s
4.37.195.991 I slot print_timing: id  1 | task 99 | n_decoded =    247, tg =  24.36 t/s, tg_3s =  23.76 t/s
4.39.294.312 I slot print_timing: id  1 | task 99 | prompt eval time =     303.15 ms /    32 tokens (    9.47 ms per token,   105.56 tokens per second)
4.39.294.324 I slot print_timing: id  1 | task 99 |        eval time =   12237.97 ms /   300 tokens (   40.79 ms per token,    24.51 tokens per second)
4.39.294.325 I slot print_timing: id  1 | task 99 |       total time =   12541.12 ms /   332 tokens
4.39.294.326 I slot print_timing: id  1 | task 99 |    graphs reused =        388
4.39.294.412 I slot      release: id  1 | task 99 | stop processing: n_tokens = 331, truncated = 0
